t,time_label,scenario,p_ev_ch_mw,p_ev_dis_mw,p_ev_net_mw,note
0,18:00-18:15,v2g,0.0,3.0,-3.0,aggregate_profile_for_decomposition
1,18:15-18:30,v2g,0.0,3.0,-3.0,aggregate_profile_for_decomposition
2,18:30-18:45,v2g,0.0,3.0,-3.0,aggregate_profile_for_decomposition
3,18:45-19:00,v2g,0.0,3.0,-3.0,aggregate_profile_for_decomposition
4,19:00-19:15,v2g,0.0,3.0,-3.0,aggregate_profile_for_decomposition
5,19:15-19:30,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
6,19:30-19:45,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
7,19:45-20:00,v2g,0.0,3.0,-3.0,aggregate_profile_for_decomposition
8,20:00-20:15,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
9,20:15-20:30,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
10,20:30-20:45,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
11,20:45-21:00,v2g,0.0,3.0,-3.0,aggregate_profile_for_decomposition
12,21:00-21:15,v2g,0.0,3.0,-3.0,aggregate_profile_for_decomposition
13,21:15-21:30,v2g,0.0,3.0,-3.0,aggregate_profile_for_decomposition
14,21:30-21:45,v2g,0.0,3.0,-3.0,aggregate_profile_for_decomposition
15,21:45-22:00,v2g,0.0,3.0,-3.0,aggregate_profile_for_decomposition
16,22:00-22:15,v2g,0.0,3.0,-3.0,aggregate_profile_for_decomposition
17,22:15-22:30,v2g,0.0,3.0,-3.0,aggregate_profile_for_decomposition
18,22:30-22:45,v2g,0.0,3.0,-3.0,aggregate_profile_for_decomposition
19,22:45-23:00,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
20,23:00-23:15,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
21,23:15-23:30,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
22,23:30-23:45,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
23,23:45-24:00,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
24,0:00-0:15,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
25,0:15-0:30,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
26,0:30-0:45,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
27,0:45-1:00,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
28,1:00-1:15,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
29,1:15-1:30,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
30,1:30-1:45,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
31,1:45-2:00,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
32,2:00-2:15,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
33,2:15-2:30,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
34,2:30-2:45,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
35,2:45-3:00,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
36,3:00-3:15,v2g,37.280000000000015,0.0,37.280000000000015,aggregate_profile_for_decomposition
37,3:15-3:30,v2g,40.12,0.0,40.12,aggregate_profile_for_decomposition
38,3:30-3:45,v2g,40.12,0.0,40.12,aggregate_profile_for_decomposition
39,3:45-4:00,v2g,40.12,0.0,40.12,aggregate_profile_for_decomposition
40,4:00-4:15,v2g,40.12,0.0,40.12,aggregate_profile_for_decomposition
41,4:15-4:30,v2g,40.12,0.0,40.12,aggregate_profile_for_decomposition
42,4:30-4:45,v2g,40.12,0.0,40.12,aggregate_profile_for_decomposition
43,4:45-5:00,v2g,39.76,0.0,39.76,aggregate_profile_for_decomposition
44,5:00-5:15,v2g,39.5,0.0,39.5,aggregate_profile_for_decomposition
45,5:15-5:30,v2g,39.16,0.0,39.16,aggregate_profile_for_decomposition
46,5:30-5:45,v2g,38.76,0.0,38.76,aggregate_profile_for_decomposition
47,5:45-6:00,v2g,38.28,0.0,38.28,aggregate_profile_for_decomposition
48,6:00-6:15,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
49,6:15-6:30,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
50,6:30-6:45,v2g,36.3,0.0,36.3,aggregate_profile_for_decomposition
51,6:45-7:00,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
52,7:00-7:15,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
53,7:15-7:30,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
54,7:30-7:45,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
55,7:45-8:00,v2g,0.0,0.0,0.0,aggregate_profile_for_decomposition
